N: 0, bs: 0, bs_end: 0, bs_gap: 1
if_profile: 0, if_verify: 0, if_bench: 11
if_ft: 0, if_err: 0
datatype: 0, thread_bs: 1
gpu: A100, param_1: 28, param_2: 16
sm_cnt: 108smem_size: 128param_file_path: ../include/param/A100/param_float2.csv
cuFFT, 1, 0,    0.011,    0.001,    0.003
cuFFT, 1, 1,    0.009,    0.002,    0.007
cuFFT, 1, 2,    0.010,    0.004,    0.013
cuFFT, 1, 3,    0.009,    0.009,    0.028
cuFFT, 1, 4,    0.009,    0.017,    0.055
cuFFT, 1, 5,    0.008,    0.038,    0.121
cuFFT, 1, 6,    0.009,    0.071,    0.227
cuFFT, 1, 7,    0.010,    0.127,    0.406
cuFFT, 1, 8,    0.010,    0.269,    0.861
cuFFT, 1, 9,    0.010,    0.530,    1.697
cuFFT, 1, 10,    0.009,    1.117,    3.574
cuFFT, 1, 11,    0.009,    2.241,    7.171
cuFFT, 1, 12,    0.010,    4.097,   13.111
cuFFT, 1, 13,    0.010,    8.293,   26.537
cuFFT, 1, 14,    0.010,   16.187,   51.799
cuFFT, 1, 15,    0.011,   30.899,   98.877
cuFFT, 1, 16,    0.012,   53.292,  170.533
cuFFT, 1, 17,    0.014,   93.516,  299.251
cuFFT, 1, 18,    0.018,  149.135,  477.233
cuFFT, 1, 19,    0.021,  243.991,  780.771
cuFFT, 1, 20,    0.034,  306.443,  980.619
cuFFT, 1, 21,    0.059,  354.096, 1133.106
cuFFT, 1, 22,    0.108,  387.191, 1239.012
cuFFT, 1, 23,    0.207,  404.931, 1295.778
cuFFT, 1, 24,    0.404,  415.139, 1328.446
cuFFT, 1, 25,    0.801,  418.981, 1340.740
cuFFT, 1, 26,    1.601,  419.188, 1341.402
cuFFT, 1, 27,    3.187,  421.136, 1347.637
cuFFT, 2, 0,    0.009,    0.005,    0.007
cuFFT, 2, 1,    0.008,    0.010,    0.016
cuFFT, 2, 2,    0.008,    0.019,    0.031
cuFFT, 2, 3,    0.008,    0.042,    0.068
cuFFT, 2, 4,    0.007,    0.086,    0.137
cuFFT, 2, 5,    0.008,    0.160,    0.257
cuFFT, 2, 6,    0.008,    0.322,    0.515
cuFFT, 2, 7,    0.008,    0.646,    1.033
cuFFT, 2, 8,    0.009,    1.130,    1.809
cuFFT, 2, 9,    0.008,    2.421,    3.874
cuFFT, 2, 10,    0.009,    4.746,    7.594
cuFFT, 2, 11,    0.010,    8.114,   12.983
cuFFT, 2, 12,    0.009,   18.693,   29.909
cuFFT, 2, 13,    0.010,   32.768,   52.429
cuFFT, 2, 14,    0.009,   71.136,  113.817
cuFFT, 2, 15,    0.010,  134.383,  215.013
cuFFT, 2, 16,    0.010,  255.282,  408.451
cuFFT, 2, 17,    0.012,  432.524,  692.038
cuFFT, 2, 18,    0.015,  686.528, 1098.445
cuFFT, 2, 19,    0.029,  725.678, 1161.085
cuFFT, 2, 20,    0.058,  720.889, 1153.422
cuFFT, 2, 21,    0.107,  785.215, 1256.344
cuFFT, 2, 22,    0.202,  828.835, 1326.136
cuFFT, 2, 23,    0.397,  845.292, 1352.467
cuFFT, 2, 24,    0.784,  855.575, 1368.921
cuFFT, 2, 25,    1.575,  852.433, 1363.893
cuFFT, 2, 26,    3.125,  858.983, 1374.373
cuFFT, 3, 0,    0.009,    0.013,    0.014
cuFFT, 3, 1,    0.008,    0.029,    0.031
cuFFT, 3, 2,    0.008,    0.060,    0.064
cuFFT, 3, 3,    0.008,    0.118,    0.126
cuFFT, 3, 4,    0.008,    0.237,    0.253
cuFFT, 3, 5,    0.008,    0.468,    0.499
cuFFT, 3, 6,    0.009,    0.894,    0.953
cuFFT, 3, 7,    0.009,    1.782,    1.901
cuFFT, 3, 8,    0.009,    3.541,    3.777
cuFFT, 3, 9,    0.009,    7.175,    7.653
cuFFT, 3, 10,    0.009,   14.398,   15.358
cuFFT, 3, 11,    0.009,   28.329,   30.218
cuFFT, 3, 12,    0.008,   58.716,   62.630
cuFFT, 3, 13,    0.010,  100.294,  106.980
cuFFT, 3, 14,    0.010,  202.505,  216.005
cuFFT, 3, 15,    0.011,  357.729,  381.578
cuFFT, 3, 16,    0.013,  600.000,  640.000
cuFFT, 3, 17,    0.018,  864.895,  922.555
cuFFT, 3, 18,    0.030, 1064.472, 1135.437
cuFFT, 3, 19,    0.062, 1016.903, 1084.696
cuFFT, 3, 20,    0.111, 1130.874, 1206.265
cuFFT, 3, 21,    0.212, 1189.527, 1268.829
cuFFT, 3, 22,    0.411, 1223.685, 1305.264
cuFFT, 3, 23,    0.810, 1242.384, 1325.209
cuFFT, 3, 24,    1.612, 1249.090, 1332.363
cuFFT, 3, 25,    3.208, 1255.203, 1338.884
cuFFT, 4, 0,    0.008,    0.038,    0.030
cuFFT, 4, 1,    0.008,    0.078,    0.062
cuFFT, 4, 2,    0.008,    0.166,    0.133
cuFFT, 4, 3,    0.008,    0.317,    0.254
cuFFT, 4, 4,    0.009,    0.590,    0.472
cuFFT, 4, 5,    0.008,    1.243,    0.995
cuFFT, 4, 6,    0.009,    2.358,    1.887
cuFFT, 4, 7,    0.009,    4.751,    3.801
cuFFT, 4, 8,    0.009,    8.710,    6.968
cuFFT, 4, 9,    0.009,   17.655,   14.124
cuFFT, 4, 10,    0.008,   39.659,   31.727
cuFFT, 4, 11,    0.008,   77.723,   62.178
cuFFT, 4, 12,    0.009,  143.669,  114.935
cuFFT, 4, 13,    0.010,  268.326,  214.661
cuFFT, 4, 14,    0.010,  505.679,  404.543
cuFFT, 4, 15,    0.012,  845.408,  676.326
cuFFT, 4, 16,    0.016, 1292.623, 1034.099
cuFFT, 4, 17,    0.030, 1416.688, 1133.351
cuFFT, 4, 18,    0.059, 1417.148, 1133.718
cuFFT, 4, 19,    0.109, 1543.295, 1234.636
cuFFT, 4, 20,    0.207, 1618.223, 1294.578
cuFFT, 4, 21,    0.404, 1662.520, 1330.016
cuFFT, 4, 22,    0.796, 1686.722, 1349.378
cuFFT, 4, 23,    1.579, 1700.401, 1360.321
