logN,logN1,logN2,logN3,signal_per_thread_1,signal_per_thread_2,signal_per_thread_3,num_block_1,num_thread_1,blockdim_x_1,blockdim_y_1,num_block_2,num_thread_2,blockdim_x_2,blockdim_y_2,num_block_3,num_thread_3,blockdim_x_3,blockdim_y_3
1,1,0,0,8,8,0,,,,,,,,,,,,
2,2,0,0,8,8,0,,,,,,,,,,,,
3,3,0,0,8,8,0,,,,,,,,,,,,
4,4,0,0,8,8,0,,,,,,,,,,,,
5,5,0,0,8,8,0,,,,,,,,,,,,
6,6,0,0,8,8,0,,,,,,,,,,,,
7,7,0,0,8,8,0,,,,,,,,,,,,
8,8,0,0,8,8,0,,,,,,,,,,,,
9,9,0,0,8,8,0,,,,,,,,,,,,
10,10,0,0,8,8,0,,,,,,,,,,,,
11,11,0,0,16,16,0,,,,,,,,,,,,
12,12,0,0,16,16,0,,,,,,,,,,,,
13,13,0,0,8,8,0,,,,,,,,,,,,
14,6,8,0,8,8,0,16,128,16,8,4,512,16,32,,,,
15,6,9,0,8,8,0,32,128,16,8,4,1024,64,16,,,,
16,7,9,0,8,8,0,32,256,16,16,8,1024,64,16,,,,
17,8,9,0,16,8,0,32,256,16,16,16,1024,64,16,,,,
18,9,9,0,8,8,0,32,1024,16,64,32,1024,64,16,,,,
19,9,10,0,8,32,0,64,1024,16,64,128,128,4,32,,,,
20,10,10,0,32,32,0,128,256,8,32,256,128,4,32,,,,
21,10,11,0,32,16,0,256,256,8,32,256,512,128,4,,,,
22,11,11,0,16,16,0,512,512,4,128,512,512,128,4,,,,
23,8,7,8,16,8,16,2048,256,16,16,4096,256,16,16,2048,256,16,16
