logN,logN1,logN2,logN3,signal_per_thread_1,signal_per_thread_2,signal_per_thread_3,num_block_1,num_thread_1,blockdim_x_1,blockdim_y_1,num_block_2,num_thread_2,blockdim_x_2,blockdim_y_2,num_block_3,num_thread_3,blockdim_x_3,blockdim_y_3,sm_size_1,sm_size_2,sm_size_3
1,1,0,0,8,8,0,,,,,,,,,,,,,,,
2,2,0,0,8,8,0,,,,,,,,,,,,,,,
3,3,0,0,8,8,0,1,1,1,1,,,,,,,,,192,,
4,4,0,0,4,8,0,1,4,4,1,,,,,,,,,256,,
5,5,0,0,8,8,0,1,4,4,1,,,,,,,,,384,,
6,6,0,0,8,8,0,1,8,8,1,,,,,,,,,640,,
7,7,0,0,8,8,0,1,16,16,1,,,,,,,,,1152,,
8,8,0,0,8,8,0,1,32,32,1,,,,,,,,,2176,,
9,9,0,0,8,8,0,1,64,64,1,,,,,,,,,4352,,
10,10,0,0,8,8,0,1,128,128,1,,,,,,,,,8704,,
11,11,0,0,16,16,0,1,128,128,1,,,,,,,,,17408,,
12,12,0,0,16,16,0,1,256,256,1,,,,,,,,,34816,,
13,13,0,0,32,32,0,1,256,256,1,,,,,,,,,65536,,
14,6,8,0,8,8,0,16,128,16,8,4,512,16,32,,,,,8192,34816,
15,6,9,0,8,8,0,32,128,16,8,4,1024,64,16,,,,,8192,65536,
16,7,9,0,8,8,0,32,256,16,16,8,1024,64,16,,,,,16384,65536,
17,8,9,0,16,8,0,32,256,16,16,16,1024,64,16,,,,,32768,65536,
18,9,9,0,16,8,0,32,512,16,32,32,64,64,1,,,,,65536,4352,
19,9,10,0,8,8,0,64,1024,16,64,128,256,128,2,,,,,65536,17588,
20,10,10,0,32,32,0,128,256,8,32,256,128,4,32,,,,,65536,40960,
21,10,11,0,32,16,0,256,256,8,32,256,512,128,4,,,,,65536,65536,
22,11,11,0,16,16,0,512,512,4,128,512,512,128,4,,,,,65536,65536,
23,8,7,8,16,8,16,2048,256,16,16,4096,256,16,16,2048,256,16,16,32768,16384,34816
24,8,8,8,16,16,16,4096,256,16,16,4096,256,16,16,4096,256,16,16,32768,32768,34816
25,8,8,9,16,16,16,8192,256,16,16,8192,256,16,16,4096,512,32,16,32768,32768,65536
26,9,8,9,16,16,16,8192,512,16,32,16384,256,16,16,8192,512,32,16,65536,32768,65536
27,9,9,9,16,16,16,16384,512,16,32,16384,512,16,32,16384,512,32,16,65536,65536,65536
28,9,9,10,16,16,32,32768,512,16,32,32768,512,16,32,32768,256,32,8,65536,65536,65536
29,10,9,10,32,16,32,65536,256,8,32,65536,512,16,32,65536,256,32,8,65536,65536,65536
