logN,logN1,logN2,logN3,signal_per_thread_1,signal_per_thread_2,signal_per_thread_3,num_block_1,num_thread_1,blockdim_x_1,blockdim_y_1,num_block_2,num_thread_2,blockdim_x_2,blockdim_y_2,num_block_3,num_thread_3,blockdim_x_3,blockdim_y_3,sm_size_1,sm_size_2,sm_size_3
1,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,
3,3,,,9,,,1,3,3,1,,,,,,,,,344,,
4,4,,,9,,,1,9,9,1,,,,,,,,,776,,
5,5,,,9,,,1,27,27,1,,,,,,,,,2072,,
6,6,,,9,,,1,81,81,1,,,,,,,,,5960,,
7,7,,,9,,,1,243,243,1,,,,,,,,,17624,,
8,8,,,9,,,1,729,729,1,,,,,,,,,52616,,
9,4,5,,9,9,,16,144,16,9,6,432,27,16,,,,,10368,31232,
10,5,5,,9,9,,16,432,16,27,16,432,27,16,,,,,31104,31232,
11,5,6,,9,9,,46,432,16,27,61,324,81,4,,,,,31104,23456,
12,6,6,,9,9,,92,648,8,81,183,324,81,4,,,,,46656,23456,
13,4,4,5,9,9,9,1231,144,16,9,1231,144,16,9,486,432,27,16,10368,10368,31232
14,5,4,5,9,9,9,1231,432,16,27,3691,144,16,9,1296,432,27,16,31104,10368,31232
15,5,5,5,9,9,9,3691,432,16,27,3691,432,16,27,3888,432,27,16,31104,31104,31232
16,5,5,6,9,9,9,11072,432,16,27,11072,432,16,27,7533,648,81,8,31104,31104,46784
17,6,5,6,9,9,9,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,
